image,label
imagenet-1k/train/n03692522/n03692522_12000.JPEG,633
imagenet-1k/train/n03124170/n03124170_1415.JPEG,515
imagenet-1k/train/n01494475/n01494475_1320.JPEG,4
imagenet-1k/train/n04487394/n04487394_14368.JPEG,875
imagenet-1k/train/n09399592/n09399592_32727.JPEG,976
imagenet-1k/train/n02087046/n02087046_3998.JPEG,158
imagenet-1k/train/n02087394/n02087394_1185.JPEG,159
imagenet-1k/train/n02093647/n02093647_3684.JPEG,181
imagenet-1k/train/n01698640/n01698640_20413.JPEG,50
imagenet-1k/train/n01930112/n01930112_21030.JPEG,111
imagenet-1k/train/n02699494/n02699494_14979.JPEG,406
imagenet-1k/train/n01843065/n01843065_4795.JPEG,95
imagenet-1k/train/n03720891/n03720891_3339.JPEG,641
imagenet-1k/train/n02978881/n02978881_2315.JPEG,481
imagenet-1k/train/n04037443/n04037443_4903.JPEG,751
imagenet-1k/train/n03417042/n03417042_22196.JPEG,569
imagenet-1k/train/n04264628/n04264628_7835.JPEG,810
imagenet-1k/train/n04033995/n04033995_5653.JPEG,750
imagenet-1k/train/n04041544/n04041544_3017.JPEG,754
imagenet-1k/train/n02442845/n02442845_1594.JPEG,357
imagenet-1k/train/n04335435/n04335435_28148.JPEG,829
imagenet-1k/train/n02113023/n02113023_8180.JPEG,263
imagenet-1k/train/n03347037/n03347037_11966.JPEG,556
imagenet-1k/train/n02093991/n02093991_1282.JPEG,184
imagenet-1k/train/n03028079/n03028079_26601.JPEG,497
imagenet-1k/train/n03888605/n03888605_15009.JPEG,702
imagenet-1k/train/n03841143/n03841143_9635.JPEG,685
imagenet-1k/train/n02119022/n02119022_9144.JPEG,277
imagenet-1k/train/n02777292/n02777292_10384.JPEG,416
imagenet-1k/train/n07614500/n07614500_2843.JPEG,928
imagenet-1k/train/n03794056/n03794056_25887.JPEG,674
imagenet-1k/train/n02483362/n02483362_6267.JPEG,368
imagenet-1k/train/n04201297/n04201297_14864.JPEG,789
imagenet-1k/train/n03109150/n03109150_3914.JPEG,512
imagenet-1k/train/n02992529/n02992529_17486.JPEG,487
imagenet-1k/train/n02097130/n02097130_8796.JPEG,197
imagenet-1k/train/n03908714/n03908714_3868.JPEG,710
imagenet-1k/train/n02058221/n02058221_7170.JPEG,146
imagenet-1k/train/n02981792/n02981792_5751.JPEG,484
imagenet-1k/train/n03498962/n03498962_13387.JPEG,596
imagenet-1k/train/n04179913/n04179913_3546.JPEG,786
imagenet-1k/train/n03249569/n03249569_24134.JPEG,541
imagenet-1k/train/n04487394/n04487394_37615.JPEG,875
imagenet-1k/train/n04136333/n04136333_16324.JPEG,775
imagenet-1k/train/n07584110/n07584110_7559.JPEG,925
imagenet-1k/train/n02869837/n02869837_12298.JPEG,452
imagenet-1k/train/n03891251/n03891251_692.JPEG,703
imagenet-1k/train/n04264628/n04264628_9163.JPEG,810
imagenet-1k/train/n02808304/n02808304_8020.JPEG,434
imagenet-1k/train/n03314780/n03314780_153.JPEG,551
imagenet-1k/train/n03425413/n03425413_20500.JPEG,571
imagenet-1k/train/n03602883/n03602883_19105.JPEG,613
imagenet-1k/train/n03000134/n03000134_3385.JPEG,489
imagenet-1k/train/n03954731/n03954731_9094.JPEG,726
imagenet-1k/train/n01883070/n01883070_7849.JPEG,106
imagenet-1k/train/n02096585/n02096585_6267.JPEG,195
imagenet-1k/train/n02115641/n02115641_8682.JPEG,273
imagenet-1k/train/n03085013/n03085013_24522.JPEG,508
imagenet-1k/train/n03976657/n03976657_19694.JPEG,733
imagenet-1k/train/n07717556/n07717556_7797.JPEG,942
imagenet-1k/train/n02085936/n02085936_5958.JPEG,153
imagenet-1k/train/n04604644/n04604644_845.JPEG,912
imagenet-1k/train/n02096437/n02096437_876.JPEG,194
imagenet-1k/train/n02965783/n02965783_3224.JPEG,475
imagenet-1k/train/n04523525/n04523525_8542.JPEG,884
imagenet-1k/train/n04604644/n04604644_5419.JPEG,912
imagenet-1k/train/n02123045/n02123045_909.JPEG,281
